date, timeslot, station, inFlow, outFlow
20170511,485,2035,2209,1697
20170511,486,2035,2230,1851
20170511,487,2035,2285,1850
20170511,488,2035,2481,2009
20170511,489,2035,2496,1862
20170511,490,2035,2720,1833
20170511,491,2035,2661,2047
20170511,492,2035,3138,2422
20170511,493,2035,3437,2637
20170511,494,2035,4323,3335
20170511,495,2035,4942,3466
20170511,496,2035,5650,3632
20170511,497,2035,6219,3794
20170511,498,2035,5882,3319
20170511,499,2035,5856,2953
20170511,500,2035,5045,2427
20170511,501,2035,4257,2001
20170511,502,2035,3561,1727
20170511,503,2035,3484,1708
20170511,504,2035,3261,1581
20170511,505,2035,2915,1292
20170511,506,2035,2694,1288
20170511,507,2035,2764,1349
20170511,508,2035,3028,1435
20170511,509,2035,2997,1222
20170511,510,2035,2856,1020
20170511,511,2035,2740,1134
20170512,512,2035,190,1762
20170512,513,2035,264,1242
20170512,514,2035,345,937
20170512,515,2035,440,894
20170512,516,2035,607,1082
20170512,517,2035,772,1428
20170512,518,2035,1039,1744
20170512,519,2035,1218,2490
20170512,520,2035,1595,3675
20170512,521,2035,1670,5070
20170512,522,2035,1613,7044
20170512,523,2035,1563,7095
20170512,524,2035,1321,5753
20170512,525,2035,1221,4713
20170512,526,2035,1037,3632
20170512,527,2035,961,2734
20170512,528,2035,864,2176
20170512,529,2035,915,1928
20170512,530,2035,908,1831
20170512,531,2035,904,1535
20170512,532,2035,920,1482
20170512,533,2035,1035,1477
20170512,534,2035,1104,1468
20170512,535,2035,1213,1506
20170512,536,2035,1159,1509
20170512,537,2035,1310,1792
20170512,538,2035,1396,1724
20170512,539,2035,1444,1726
20170512,540,2035,1524,1785
20170512,541,2035,1565,1747
20170512,542,2035,1718,1794
20170512,543,2035,1689,1805
20170512,544,2035,1857,1939
20170512,545,2035,1845,1867
20170512,546,2035,2001,2042
20170512,547,2035,2005,1771
20170512,548,2035,2248,2028
20170512,549,2035,2364,1934
20170512,550,2035,2276,1911
20170512,551,2035,2287,1922
20170512,552,2035,2282,1986
20170512,553,2035,2316,2074
20170512,554,2035,2524,2346
20170512,555,2035,2872,2468
20170512,556,2035,3210,2632
20170512,557,2035,3587,2942
20170512,558,2035,4255,3732
20170512,559,2035,4830,3968
20170512,560,2035,5585,3865
20170512,561,2035,5992,4408
20170512,562,2035,5898,4081
20170512,563,2035,5535,3521
20170512,564,2035,4811,3046
20170512,565,2035,4263,2523
20170512,566,2035,3689,2087
20170512,567,2035,3229,1773
20170512,568,2035,2827,1592
20170512,569,2035,2875,1551
20170512,570,2035,3111,1622
20170512,571,2035,3060,1623
20170512,572,2035,3233,1701
20170512,573,2035,3652,2071
20170512,574,2035,3809,1628
20170512,575,2035,4152,1717
20170513,576,2035,230,1056
20170513,577,2035,282,1069
20170513,578,2035,320,927
20170513,579,2035,335,886
20170513,580,2035,429,951
20170513,581,2035,513,1087
20170513,582,2035,544,1344
20170513,583,2035,604,1228
20170513,584,2035,717,1509
20170513,585,2035,795,1739
20170513,586,2035,894,2534
20170513,587,2035,842,2782
20170513,588,2035,878,2476
20170513,589,2035,928,2527
20170513,590,2035,919,2481
20170513,591,2035,866,2708
20170513,592,2035,979,2613
20170513,593,2035,1039,2822
20170513,594,2035,1128,2829
20170513,595,2035,1196,3066
20170513,596,2035,1230,3031
20170513,597,2035,1268,2692
20170513,598,2035,1300,2758
20170513,599,2035,1588,2788
20170513,600,2035,1659,2660
20170513,601,2035,1711,2848
20170513,602,2035,1816,3168
20170513,603,2035,2060,3313
20170513,604,2035,2215,3314
20170513,605,2035,2228,3488
20170513,606,2035,2444,3249
20170513,607,2035,2558,3253
20170513,608,2035,2606,3419
20170513,609,2035,2910,3362
20170513,610,2035,3084,3667
20170513,611,2035,3182,3467
20170513,612,2035,3342,3295
20170513,613,2035,3419,3333
20170513,614,2035,3585,3421
20170513,615,2035,3479,3234
20170513,616,2035,3761,3175
20170513,617,2035,3761,3352
20170513,618,2035,3790,3394
20170513,619,2035,3863,3552
20170513,620,2035,3988,3705
20170513,621,2035,4045,3471
20170513,622,2035,4019,3538
20170513,623,2035,3858,3316
20170513,624,2035,3762,2963
20170513,625,2035,3530,2788
20170513,626,2035,3504,2752
20170513,627,2035,3302,2623
20170513,628,2035,3290,2394
20170513,629,2035,3136,2113
20170513,630,2035,3233,2108
20170513,631,2035,3265,2004
20170513,632,2035,3301,2040
20170513,633,2035,3328,1881
20170513,634,2035,3750,2116
20170513,635,2035,3694,2102
20170513,636,2035,3971,2130
20170513,637,2035,4293,2057
20170513,638,2035,4390,1787
20170513,639,2035,4296,1777
20170514,640,2035,160,586
20170514,641,2035,212,549
20170514,642,2035,241,508
20170514,643,2035,252,535
20170514,644,2035,311,579
20170514,645,2035,390,771
20170514,646,2035,432,913
20170514,647,2035,455,937
20170514,648,2035,590,1095
20170514,649,2035,624,1378
20170514,650,2035,718,2094
20170514,651,2035,738,2486
20170514,652,2035,830,2272
20170514,653,2035,823,2026
20170514,654,2035,801,2360
20170514,655,2035,844,2612
20170514,656,2035,846,2461
20170514,657,2035,905,2590
20170514,658,2035,988,2681
20170514,659,2035,1074,2899
20170514,660,2035,1130,2667
20170514,661,2035,1253,2699
20170514,662,2035,1443,2744
20170514,663,2035,1584,2591
20170514,664,2035,1581,2493
20170514,665,2035,1799,2528
20170514,666,2035,1891,2703
20170514,667,2035,1991,2947
20170514,668,2035,2080,3146
20170514,669,2035,2184,3132
20170514,670,2035,2270,3139
20170514,671,2035,2504,3290
20170514,672,2035,2440,3193
20170514,673,2035,2713,3023
20170514,674,2035,2858,3343
20170514,675,2035,3058,3287
20170514,676,2035,3111,3267
20170514,677,2035,3294,3237
20170514,678,2035,3623,3203
20170514,679,2035,3680,2899
20170514,680,2035,3857,3066
